Episode,Title,URL,Status,Date,Duration
34,Bureau में New ACP को देखकर हैरान हो गए Daya-Abhijeet | CID Season 2 | Full Episode | Ep 34,https://www.youtube.com/watch?v=edS316DzFQ4,Found,09 Mar 2026,44:33
35,किसके निशाने पर हैं CID Members? | CID Season 2 | Full Episode | Ep 35,https://www.youtube.com/watch?v=tO2AHvOC3nk,Found,09 Mar 2026,47:02
36,Daya को Crime का सच कैसे बताएगा Shocked Sachin? | CID Season 2 | Full Episode | Ep 36,https://www.youtube.com/watch?v=SYylA7p3Cjc,Found,09 Mar 2026,48:06
37,Car Launch में CID को मिली 20 साल पुरानी Frozen Body | CID Season 2 | Full Episode | Ep 37,https://www.youtube.com/watch?v=xtToD935yyw,Found,09 Mar 2026,45:56
38,Silent Den में मचे Crime के शोर को कैसे शांत करेगी CID? | CID Season 2 | Full Episode | Ep 38,https://www.youtube.com/watch?v=bF8fg_R9M_o,Found,09 Mar 2026,44:27
39,CID में घुसे गद्दार की कैसे होगी पहचान? | CID Season 2 | Full Episode | Ep 39,https://www.youtube.com/watch?v=_6pt3cLpxXM,Found,09 Mar 2026,49:48
40,क्या Celebrity का Case डाल देगा Daya-Abhijeet के बीच में दरार? | CID Season 2 | Full Episode | Ep 40,https://www.youtube.com/watch?v=gw5uyRUIzS4,Found,09 Mar 2026,46:10
41,किसने लगाया CID पर Blackmail का इल्ज़ाम? | CID Season 2 | Full Episode | Ep 41,https://www.youtube.com/watch?v=eywP-FQll8o,Found,09 Mar 2026,44:56
42,CID SEASON 2 EPISODE 42 | Full Episode | Original Episode,https://www.youtube.com/watch?v=VUSJFG4iUgU,Found,09 Mar 2026,45:21
43,CID SEASON 2 Episode 43 | Full Episode | Original Episode | Sheraya come back,https://www.youtube.com/watch?v=xWgEB47QnbI,Found,09 Mar 2026,45:57
44,Construction Site पर मिले कंकाल की Identity कैसे निकलेगी CID? | CID Season 2 | Full Episode | Ep 44,https://www.youtube.com/watch?v=Z8Veo6zwC-s,Found,09 Mar 2026,42:56
45,क्या एक सुराग बनेगा CID के दो अलग Cases की असली कड़ी? | CID Season 2 | Ep 45 | Best Crime Cases,https://www.youtube.com/watch?v=sNeThjGXXuo,Found,07 Jul 2026,45:06
46,CID को मिली Phone की Battery में से एक Dangerous Chip | CID Season 2 | Ep 46 | Best Crime Cases,https://www.youtube.com/watch?v=zZzy8hbqe7c,Found,07 Jul 2026,43:57
47,क्यों लगा Inspector Daya पर Jewellery Theft का आरोप? | CID Season 2 | Full Episode | Ep 47,https://www.youtube.com/watch?v=yvgsPHeLPfk,Found,09 Mar 2026,43:26
48,क्यों चलाई ACP Pradyuman ने Daya पर गोली? | CID Season 2 | Full Episode | Ep 48,https://www.youtube.com/watch?v=yb14fzBoQq0,Found,09 Mar 2026,42:32
49,क्या ACP Pradyuman ने किया Team CID को Trick? | CID Season 2 | Full Episode | Ep 49,https://www.youtube.com/watch?v=yJATw2TTJF8,Found,09 Mar 2026,45:17
50,Team CID में कौन है ग़द्दार? | CID Season 2 | Full Episode | Ep 50,https://www.youtube.com/watch?v=noAcwXjWh9o,Found,09 Mar 2026,46:51
51,CID पहचान पाएगी ग्लैमर के पीछे छुपा खतरनाक राज? | CID Season 2 | Ep 51 | Best Crime Cases,https://www.youtube.com/watch?v=XdiYn-EYJJs,Found,07 Jul 2026,42:04
52,किसने कहा Abhijeet को खड़ूस? | CID Season 2 | Full Episode | Ep 52,https://www.youtube.com/watch?v=TjyaiX4PvgM,Found,09 Mar 2026,46:50
53,Policemen पर हुए Attack ने किया Team CID को हैरान | CID Season 2 | Full Episode | Ep 53,https://www.youtube.com/watch?v=OP0Ha3AaHxA,Found,Official,47:47
54,Birthday Crime की Mystery को ACP ने किया Solve | CID Season 2 | Full Episode | Ep 54,https://www.youtube.com/watch?v=JEGIc1s77Pk,Found,09 Mar 2026,47:00
55,Daya ने चलती बस में Inspector Milan को मारी गोली | CID Season 2 | Full Episode | Ep 55,https://www.youtube.com/watch?v=_cG9KX8WHWs,Found,09 Mar 2026,44:05
56,CID को Victim के Brain में से मिली एक Special Bullet | CID Season 2 | Full Episode | Ep 56,https://www.youtube.com/watch?v=RyvAkahyJAU,Found,09 Mar 2026,43:16
57,कैसे बचाई Daya ने Hijacked Flight में रहते हुए Passengers की जान? | CID Season 2 |Full Episode|Ep 57,https://www.youtube.com/watch?v=fOh4OzeSwC4,Found,09 Mar 2026,45:12
58,Team CID ने क्यों किया Daya पर Raid? | CID Season 2 | Full Episode | Ep 58,https://www.youtube.com/watch?v=yDyl_fs1uhw,Found,09 Mar 2026,45:35
59,Officer Daya के खिलाफ क्यों खड़ी हुई Team CID? | CID Season 2 | Full Episode | Ep 59,https://www.youtube.com/watch?v=QAE5Zhy-EAM,Found,08 Apr 2026,42:50
60,क्या Abhijeet कर पायेगा Daya को Rescue? | CID Season 2 | Full Episode | Ep 60,https://www.youtube.com/watch?v=7fFibDI2OlI,Found,08 Apr 2026,41:09
61,CID को Chill Vacation पर मिला एक Chilling Case | CID Season 2 | Full Episode | Ep 61,https://www.youtube.com/watch?v=Jxvet2g1I80,Found,08 Apr 2026,44:25
62,Officer Purvi के ऊपर किसने फेंका Acid? | CID Season 2 | Full Episode | Ep 62,https://www.youtube.com/watch?v=DW7sKF80DBg,Found,08 Apr 2026,43:22
63,Team CID को मिली 72 Hours की Deadline | CID Season 2 | Full Episode | Ep 63,https://www.youtube.com/watch?v=lrtQ4xpeMTc,Found,08 Apr 2026,47:03
64,कहाँ खो गए Dr. Salunkhe? | CID Season 2 | Full Episode | Ep 64,https://www.youtube.com/watch?v=een0VRA9D2A,Found,08 Apr 2026,42:35
65,किसने फंसाया Team CID को एक Real Life Chess Game में? | CID Season 2 | Full Episode | Ep 65,https://www.youtube.com/watch?v=BI3lQ_3SLuU,Found,08 Apr 2026,48:21
66,Taarika ने Abhijeet को बताई एक Body के दिल की बात | CID Season 2 | Full Episode | Ep 66,https://www.youtube.com/watch?v=2K3jFOWGBtc,Found,08 Apr 2026,44:03
